N,assumption,option,experiment,dgp_name,rmse,nmse,mse,variance,mu_config
200,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.0630444517560852,0.019633285854213638,0.003974602897225354,0.20244206327655218,"{'n_estimators': 40, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
200,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.06235986779726453,0.01916751187281137,0.00388875311169231,0.20288252004207222,"{'n_estimators': 40, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
200,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.1028349044427723,0.052681913462453746,0.01057501757175411,0.20073336135163153,"{'n_estimators': 40, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
200,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.0614149848579591,0.018986121177305356,0.003771800365103345,0.19866092341240738,"{'n_estimators': 40, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
200,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.06437992968315744,0.020559641451772782,0.0041447753460082965,0.20159764729996826,"{'n_estimators': 40, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
200,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.07752911836209961,0.030020031271085712,0.00601076419400445,0.2002251143486921,"{'n_estimators': 40, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
200,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.0651115101387949,0.021273676912391366,0.004239508752554391,0.1992842502033575,"{'n_estimators': 40, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
200,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.08295056637160006,0.034401606993205484,0.006880796461369226,0.20001380931792584,"{'n_estimators': 40, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
200,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.058191326946581946,0.01713054566606272,0.003386230531803994,0.19767207640749276,"{'n_estimators': 40, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
200,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.06670722386648167,0.022011118595043653,0.004449853715972902,0.20216390624395147,"{'n_estimators': 40, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
200,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.07528923097326913,0.027738737012906606,0.005668468300546269,0.2043520690184552,"{'n_estimators': 40, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
200,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.06968833466694797,0.0241668536286413,0.004856463988652544,0.20095557590074178,"{'n_estimators': 40, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
200,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.06854246581369154,0.023284249208528344,0.004698069619821073,0.2017702859021242,"{'n_estimators': 40, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
200,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.05829259524590995,0.016847239943440853,0.003398026660503483,0.20169634147262433,"{'n_estimators': 40, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
200,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.06427412742839851,0.02060427554121184,0.004131163456682009,0.20050030142622693,"{'n_estimators': 40, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
200,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.06563108138170838,0.021716851195248243,0.004307438843332429,0.19834546015008467,"{'n_estimators': 40, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
200,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.07212280324173805,0.025665181309291202,0.005201698747446459,0.2026753165995894,"{'n_estimators': 40, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
200,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.0712038538401764,0.024654386528791653,0.005069988801693203,0.20564246430437103,"{'n_estimators': 40, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
200,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.0744924084589591,0.027685894984665078,0.005549118918016402,0.20043126368463074,"{'n_estimators': 40, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
200,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.0642504968752069,0.020631670797131095,0.004128126348710971,0.20008686593065458,"{'n_estimators': 40, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
400,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.044763729480843124,0.009968998608471377,0.0020037914770341036,0.20100228274997825,"{'n_estimators': 40, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
400,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.06032104709777473,0.018314927555346593,0.003638628722971957,0.1986701127796571,"{'n_estimators': 40, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
400,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.05864511471154827,0.01718815029199129,0.0034392494795306553,0.20009421730115728,"{'n_estimators': 40, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
400,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.05140346071717751,0.013028693845560862,0.0026423157737024113,0.20280741914913455,"{'n_estimators': 40, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
400,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.05514982625972203,0.015117328065955483,0.0030415033364775256,0.20119318197023522,"{'n_estimators': 40, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
400,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.05955517314085146,0.017555192135896437,0.003546818647836795,0.20203815602703343,"{'n_estimators': 40, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
400,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.04335409725970414,0.00925694339262496,0.001879577749203886,0.20304518127456112,"{'n_estimators': 40, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
400,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.05340489348938522,0.014070746274230642,0.00285208264861258,0.20269590489567163,"{'n_estimators': 40, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
400,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.05484012024312912,0.014965941201024647,0.0030074387882808606,0.20095219858774774,"{'n_estimators': 40, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
400,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.05816829012625728,0.016669338276268535,0.0033835499762124403,0.20298046149975038,"{'n_estimators': 40, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
400,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.04433924614901519,0.009760389269920278,0.001965968749062958,0.2014231906837683,"{'n_estimators': 40, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
400,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.05670922866970171,0.016038034038766188,0.0032159366163125183,0.20051937840630257,"{'n_estimators': 40, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
400,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.05734779940295477,0.016173864654338465,0.0032887700963615397,0.20333854441395754,"{'n_estimators': 40, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
400,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.043930295576777405,0.009528531865302909,0.0019298708694630285,0.20253601464989995,"{'n_estimators': 40, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
400,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.05211989110128279,0.013421440899838991,0.0027164830484095767,0.20239876393913597,"{'n_estimators': 40, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
400,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.0634029466389018,0.019945081643885778,0.004019933642495429,0.20155012219404733,"{'n_estimators': 40, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
400,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.044673659897353,0.00982636417658586,0.0019957358886243657,0.20310013477617497,"{'n_estimators': 40, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
400,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.05502117320184311,0.01509742717486268,0.0030273295005072186,0.20051956306487392,"{'n_estimators': 40, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
400,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.045489572207423515,0.010311645988983835,0.002069301179614398,0.20067612695636364,"{'n_estimators': 40, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
400,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.05162182473935562,0.013116565381947585,0.002664812789420748,0.2031639161489903,"{'n_estimators': 40, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
800,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.04879439060926089,0.01186499901689662,0.0023808925549291277,0.20066521299652565,"{'n_estimators': 40, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
800,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.03421460256517336,0.005804830192381765,0.0011706390286927678,0.20166636919527975,"{'n_estimators': 40, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
800,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.03638078789103097,0.00656019413966331,0.0013235617275721855,0.20175648759689221,"{'n_estimators': 40, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
800,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.03478117381997797,0.006048557115851919,0.0012097300522955212,0.2000030799287798,"{'n_estimators': 40, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
800,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.03538762768516366,0.006204010778355808,0.0012522841931837613,0.20185074428830097,"{'n_estimators': 40, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
800,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.04753394296778185,0.011265329962426596,0.002259475734064338,0.20056897947955338,"{'n_estimators': 40, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
800,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.04721783108854648,0.011029991693604243,0.0022295235727065065,0.20213284240270998,"{'n_estimators': 40, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
800,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.042492269295402375,0.008992298724098426,0.0018055929498729953,0.20079325712725646,"{'n_estimators': 40, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
800,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.041089762004282514,0.008375932648896267,0.001688368541568579,0.20157379629730696,"{'n_estimators': 40, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
800,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.0419963542163124,0.00880079883971837,0.0017636937674619802,0.20040155440235236,"{'n_estimators': 40, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
800,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.03873254758775021,0.007398260710443163,0.0015002102426373344,0.20277877481658393,"{'n_estimators': 40, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
800,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.046632557090742814,0.010909724269630069,0.002174595380821388,0.19932633741027855,"{'n_estimators': 40, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
800,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.059421609358815214,0.01752507493052163,0.0035309276587916355,0.2014786055289373,"{'n_estimators': 40, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
800,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.04561655729220416,0.01034333492478828,0.002080870299192944,0.20117982394692085,"{'n_estimators': 40, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
800,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.04117337441103053,0.008478752920979993,0.0016952467603909033,0.19994057807677723,"{'n_estimators': 40, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
800,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.03558079327544942,0.00628516551354056,0.0012659928501102668,0.20142553881562106,"{'n_estimators': 40, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
800,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.05414099713865432,0.014558826081419084,0.0029312475711677755,0.2013381817170564,"{'n_estimators': 40, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
800,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.046787034834910236,0.01090732857401737,0.002189026628643104,0.20069319575259162,"{'n_estimators': 40, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
800,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.03506058918267604,0.006061390015171795,0.0012292449138363798,0.20279917820162574,"{'n_estimators': 40, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
800,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.03991570597701914,0.007908691720846952,0.0015932635836438415,0.20145728773876356,"{'n_estimators': 40, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
1600,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.028829679388905505,0.004123611277311534,0.0008311504136670829,0.20155886619093907,"{'n_estimators': 40, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
1600,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.032714890835403056,0.005312666136307834,0.001070264082372339,0.2014551742783041,"{'n_estimators': 40, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
1600,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.03660470126563738,0.006675319523844425,0.0013399041547465546,0.20072509637334662,"{'n_estimators': 40, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
1600,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.031606643645184875,0.004963305178052183,0.0009989799225137055,0.20127312076863843,"{'n_estimators': 40, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
1600,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.04297156787861437,0.009175767620080145,0.0018465556459463625,0.2012426341209188,"{'n_estimators': 40, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
1600,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.037631372554054285,0.007066713400177902,0.0014161202003020303,0.20039304272144107,"{'n_estimators': 40, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
1600,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.03142029071195244,0.004886352795553737,0.0009872346684236045,0.20203917108112288,"{'n_estimators': 40, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
1600,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.03469311318231255,0.005985737699102601,0.0012036121022807487,0.20107999427726306,"{'n_estimators': 40, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
1600,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.0315420564904076,0.004944984012328745,0.0009949013276440645,0.20119404333029076,"{'n_estimators': 40, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
1600,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.03630123982187688,0.006545204764546582,0.0013177800126054197,0.20133518507219822,"{'n_estimators': 40, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
1600,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.02993296544569584,0.00446709921585828,0.0008959824203732212,0.20057365576132002,"{'n_estimators': 40, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
1600,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.02923085850775179,0.004245871931414515,0.0008544430891002052,0.20124090007951484,"{'n_estimators': 40, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
1600,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.03241694009087747,0.005228675099079076,0.001050858004855539,0.2009797864550096,"{'n_estimators': 40, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
1600,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.029194747177336073,0.004238891761597636,0.0008523332627485726,0.20107455219081333,"{'n_estimators': 40, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
1600,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.031602341904363215,0.004962747358429946,0.0009987080138402712,0.2012409541952243,"{'n_estimators': 40, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
1600,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.0359740718469663,0.0064274707833165265,0.0012941338452506933,0.20134418169738144,"{'n_estimators': 40, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
1600,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.03334473824223479,0.005533580723366351,0.0011118715684431551,0.20093166143725263,"{'n_estimators': 40, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
1600,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.04358940001061311,0.009358829250547308,0.0019000357932852383,0.20302067090006193,"{'n_estimators': 40, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
1600,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.04158449453709733,0.008594412337646799,0.001729270185905878,0.2012086595299851,"{'n_estimators': 40, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
1600,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.029900184950648986,0.0044196737987228975,0.0008940210600830161,0.2022821368267837,"{'n_estimators': 40, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
